courses,link,origin_site,profession,subscription,scope
Physics Essentials 1,https://www.udemy.com/course/physics-essentials-1/,udemy.com,Physicist/Ap Physics Teacher,free,Physical Sciences
Physics: A beginners guide to Kinematics,https://www.udemy.com/course/physics-kinematics-level1/,udemy.com,Physicist/Ap Physics Teacher,free,Physical Sciences
How to learn physics faster? (Free course),https://www.udemy.com/course/how-to-learn-physics-faster/,udemy.com,Physicist/Ap Physics Teacher,free,Physical Sciences
IGCSE Physics 1. Measurement,https://www.udemy.com/course/igcse-physics-1-measurement/,udemy.com,Physicist/Ap Physics Teacher,free,Physical Sciences
IGCSE Physics 2. Motion,https://www.udemy.com/course/igcse-physics-2-motion/,udemy.com,Physicist/Ap Physics Teacher,free,Physical Sciences
Class 12 Physics Ray Optics and Optical Instrument,https://www.udemy.com/course/class-12-physics-ray-optics-and-optical-instrument/,udemy.com,Physicist/Ap Physics Teacher,free,Physical Sciences
Class 12 Physics Wave Optics and Semiconductors Electronics,https://www.udemy.com/course/class-12-physics-wave-optics-and-semiconductors-electronics/,udemy.com,Physicist/Ap Physics Teacher,free,Physical Sciences
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,coursera.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Particle Physics: an Introduction,https://www.coursera.org/learn/particle-physics,coursera.org,Physicist/Ap Physics Teacher,free,Physical Sciences
From the Big Bang to Dark Energy,https://www.coursera.org/learn/big-bang,coursera.org,Physicist/Ap Physics Teacher,free,Physical Sciences
Battery Storage Technology: Opportunities and Uses,https://www.futurelearn.com/courses/battery-storage-applications,futurelearn.com,Physicist/Ap Physics Teacher,,Physical Sciences
Battery Storage: Understanding the Battery Revolution,https://www.futurelearn.com/courses/energy-storage,futurelearn.com,Physicist/Ap Physics Teacher,,Physical Sciences
Energy Systems Integration: An Introduction,https://www.futurelearn.com/courses/introduction-to-energy-systems-integration,futurelearn.com,Physicist/Ap Physics Teacher,,Physical Sciences
,,,Physicist/Ap Physics Teacher,,Physical Sciences
